"","B2Bcontrolrep1","B2Bcontrolrep2","B2BNicotine125rep1","B2BNicotine125rep2","B2BNicotine250rep1","B2BNicotine250rep2","Hcontrolrep1","Hcontrolrep2","Hcontrol125rep1","Hcontrol125rep2","Hcontrol250rep1","Hcontrol250rep2"
"ENSG00000223972",23,26,21,16,11,32,14,18,16,17,22,25
"ENSG00000227232",1079,1675,1382,1394,1278,2531,954,1382,2071,1249,2219,2604
"ENSG00000278267",10,12,10,3,8,15,9,4,16,6,19,24
"ENSG00000243485",0,1,2,1,4,6,4,2,15,2,9,10
"ENSG00000284332",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237613",2,2,3,0,1,1,0,0,0,0,2,1
"ENSG00000268020",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000240361",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000186092",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000238009",30,43,50,45,32,57,19,31,51,26,53,69
"ENSG00000239945",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233750",28,32,38,23,21,52,24,37,55,34,56,72
"ENSG00000268903",34,54,36,41,35,74,20,54,82,42,125,118
"ENSG00000269981",9,18,9,16,15,26,21,15,32,16,32,52
"ENSG00000239906",1,5,4,8,1,5,4,4,10,3,9,13
"ENSG00000241860",41,46,53,46,43,76,35,58,84,36,104,87
"ENSG00000222623",0,0,0,0,0,0,0,0,2,0,0,0
"ENSG00000241599",0,0,1,0,0,0,0,0,3,0,0,0
"ENSG00000279928",12,10,3,13,8,12,3,3,9,10,11,11
"ENSG00000279457",1468,2200,1677,2034,1879,3458,1193,1690,2447,1693,2479,3308
"ENSG00000273874",10,11,10,5,8,13,8,4,18,6,17,23
"ENSG00000228463",312,474,332,327,282,555,192,230,278,233,352,373
"ENSG00000286448",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236679",106,183,122,117,131,189,76,88,104,96,139,120
"ENSG00000236601",0,0,0,0,0,0,0,1,0,0,1,0
"ENSG00000237094",76,117,81,82,64,186,75,107,196,101,170,232
"ENSG00000269732",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284733",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233653",21,23,26,23,21,54,19,32,34,25,43,48
"ENSG00000250575",62,79,42,54,46,116,60,84,116,81,183,183
"ENSG00000278757",0,0,0,0,0,0,0,0,1,0,0,0
"ENSG00000230021",34,29,21,32,15,52,40,36,53,42,45,67
"ENSG00000235146",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225972",7555,13375,10428,9147,8628,15530,7452,8811,11708,8466,14335,18567
"ENSG00000225630",37425,68880,55901,44733,56098,99255,44984,52503,55442,45735,68227,73586
"ENSG00000237973",163273,280123,208938,182533,224924,380123,214791,257480,297125,236023,365092,430774
"ENSG00000278791",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229344",32069,53472,44424,36710,43090,72873,32317,38815,48797,39036,63750,77399
"ENSG00000240409",1808,3379,2708,2062,3229,5401,2359,2948,3004,2547,4315,4570
"ENSG00000248527",72512,121195,106144,84932,116667,199164,89122,102747,123574,97763,169239,201431
"ENSG00000198744",32358,55276,46302,40247,50813,85446,47852,56635,71323,56914,95672,116696
"ENSG00000268663",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284662",0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000229376",19,17,29,25,11,36,22,19,37,22,41,49
"ENSG00000228327",205,275,216,206,179,440,231,319,526,267,545,643
"ENSG00000223181",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229905",0,0,0,0,0,0,0,0,0,0,1,0
"ENSG00000237491",107,144,111,137,87,212,147,149,219,188,242,323
"ENSG00000285268",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000230092",7,13,8,5,11,17,4,6,5,3,18,5
"ENSG00000177757",4,12,0,5,4,13,8,2,14,9,9,12
"ENSG00000228794",534,939,724,746,729,1308,625,792,1139,808,1176,1412
"ENSG00000225880",20,38,25,29,27,44,18,33,46,39,39,85
"ENSG00000288531",0,1,3,0,2,5,1,0,1,1,0,1
"ENSG00000230368",14,24,10,18,5,26,8,10,27,12,24,22
"ENSG00000234711",34,57,52,51,42,94,66,101,112,89,98,124
"ENSG00000283040",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000272438",0,10,1,2,4,3,1,4,13,2,9,10
"ENSG00000230699",9,5,5,8,7,10,11,26,36,25,45,59
"ENSG00000241180",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000223764",96,136,113,146,103,207,244,327,579,388,539,596
"ENSG00000187634",442,692,473,602,486,742,1357,1766,2546,1942,1893,2379
"ENSG00000188976",4619,7825,6360,6711,5545,9641,4943,6342,8465,6274,8235,9330
"ENSG00000187961",274,363,277,374,320,647,234,311,509,311,625,643
"ENSG00000187583",92,111,114,135,116,208,121,147,186,159,251,285
"ENSG00000187642",1,4,0,2,2,8,2,5,6,3,7,2
"ENSG00000272512",35,33,47,68,87,132,56,66,70,48,204,229
"ENSG00000188290",297,497,494,592,986,1001,255,309,594,481,575,903
"ENSG00000187608",2033,3352,2778,2769,3609,5702,1913,2221,3189,2589,4006,5766
